code	category
00071338	non-alcoholic-beverages
00071543	beverages
00071543	plant-based-beverages
00071543	plant-based-foods-and-beverages
00071543	non-alcoholic-beverages
00071543	fruit-based-beverages
00071574	beverages
00071574	plant-based-beverages
00071574	plant-based-foods-and-beverages
00071574	vegetable-based-foods-and-beverages
00071574	vegetable-based-beverages
00071574	fruit-smoothies
00071574	smoothies
00071574	refrigerated-foods
00071574	non-alcoholic-beverages
00071604	beverages
00071604	artificially-sweetened-beverages
0007200000021	sauces
0007200000021	groceries
0007200000021	bolognese-sauces
0007200000021	meat-based-products
0007200000021	meat-based-sauces
0007200000021	pasta-sauces
00072083	chicken-sandwiches
00072083	sandwiches
00072083	poultry-sandwiches
00072847	dried-products-to-be-rehydrated
00072847	dried-products
00072847	plant-based-foods-and-beverages
00072847	cereals-and-potatoes
00072847	cereals-and-their-products
00072847	noodles
00072847	instant-noodles
00072847	plant-based-foods
00072847	instant-noodle-soups
00072854	dried-products-to-be-rehydrated
00072854	dried-products
00072854	plant-based-foods-and-beverages
00072854	cereals-and-potatoes
00072854	cereals-and-their-products
00072854	noodles
00072854	instant-noodles
00072854	plant-based-foods
00072854	instant-noodle-soups
00073455	meals
00073455	meals-with-chicken
00073455	low-fat-prepared-meals
00073455	meals-with-meat
00073455	poultry-meals
00073455	meat-based-products
00073899	fermented-milk-products
00073899	fermented-foods
00073899	cheeses
00073899	dairies
00073899	cheeses-from-england
00073899	cheddar-cheese
00073899	cow-cheeses
00073899	cheeses-from-the-united-kingdom
00073974	yogurts
00073974	fermented-milk-products
00073974	fermented-foods
00073974	greek-yogurts
00073974	dairies
00073974	mango-yogurts
00073974	fruit-yogurts
000742	biscuits-and-cakes
000742	sugary-snacks
00074742	spreads
00074742	fruit-jams
00074742	plant-based-spreads
00074742	berry-jams
00074742	plant-based-foods-and-beverages
00074742	sweet-spreads
00074742	jams
00074742	fruit-preserves
00074742	breakfasts
00074742	fruits-and-vegetables-based-foods
00074742	raspberry-jams
00074742	plant-based-foods
00074742	fruits-based-foods
00076517	plant-based-foods-and-beverages
00076517	fruits-and-vegetables-based-foods
00076517	fruits
00076517	plant-based-foods
00076517	fruits-based-foods
00076630	broccoli
00076630	fresh-vegetables
00076630	plant-based-foods-and-beverages
00076630	fresh-foods
00076630	plant-based-foods
00076630	cabbages
00076630	fruits-and-vegetables-based-foods
00076630	vegetables-based-foods
00076630	fresh-plant-based-foods
00076630	leaf-vegetables
00078115	fermented-milk-products
00078115	cheddar-slices
00078115	fermented-foods
00078115	cheeses
00078115	dairies
00078115	sliced-cheeses
00078115	cheeses-from-england
00078115	cheddar-cheese
00078115	cow-cheeses
00078115	cheeses-from-the-united-kingdom
00078832	plant-based-foods-and-beverages
00078832	berries
00078832	fruits-and-vegetables-based-foods
00078832	fruits
00078832	plant-based-foods
00078832	fruits-based-foods
00079150	plant-based-foods-and-beverages
00079150	cereals-and-potatoes
00079150	cereals-and-their-products
00079150	plant-based-foods
00079150	pastas
0008077102146	cookies
0008077102146	biscuits
0008077102146	biscuits-and-cakes
0008077102146	sugary-snacks
00080897	meals
00080897	meals-with-chicken
00080897	refrigerated-meals
00080897	meals-with-meat
00080897	poultry-meals
00080897	refrigerated-foods
00080897	meat-based-products
00080897	microwave-meals
00080910	meals
00080910	meals-with-chicken
00080910	refrigerated-meals
00080910	meals-with-meat
00080910	poultry-meals
00080910	refrigerated-foods
00080910	meat-based-products
00080910	microwave-meals
0008274000078	beverages
